model,variable,dim,score
M2,T4,7,-3.85748225708582e-05
M2,T4,8,-0.0016977173365975706
M2,T4,9,-0.0009921199438549522
M2,T4,10,-0.00018467303961811066
M2,T4,11,-0.00046513854691709877
M2,T4,12,-0.002191635729984487
M2,T4,13,-0.001552290520663191
M2,T4,14,-6.680328823338577e-05
M2,T4,15,-0.00031414171060928364
M3,T1,0,0.9117571610112635
M3,T1,1,0.5828181854956469
M3,T1,2,0.8301820147916619
M3,T1,3,0.7164167268515229
M3,T1,4,0.9119162562256793
M3,T1,5,0.6706768527069372
M3,T1,6,0.6537603448888256
M3,T1,7,0.8956155332180941
M3,T1,8,0.61565926096943
M3,T1,9,0.6047507557639332
M3,T1,10,0.6729939696747256
M3,T1,11,0.9038196664377669
M3,T1,12,0.6048410330483925
M3,T1,13,0.6624741994427474
M3,T1,14,0.8821277122650817
M3,T1,15,0.5014096575974996
M3,T2,0,0.5423418041108902
M3,T2,1,0.5189273655719309
M3,T2,2,0.5277588958305957
M3,T2,3,0.5181495877169
M3,T2,4,0.5404307746614646
M3,T2,5,0.5069863204573776
M3,T2,6,0.5139729692404646
M3,T2,7,0.5363622847853943
M3,T2,8,0.5028996889764116
M3,T2,9,0.521000014961352
M3,T2,10,0.5184041495837513
M3,T2,11,0.5377401969732799
M3,T2,12,0.5017760682694987
M3,T2,13,0.5035439026452211
M3,T2,14,0.5322334666696229
M3,T2,15,0.519271238469555
M3,T3,0,-0.7914561483987084
M3,T3,1,-0.728612530684305
M3,T3,2,-0.7200615623011035
M3,T3,3,-0.7708314518289436
M3,T3,4,-0.518144757561797
M3,T3,5,-0.7914320078743753
M3,T3,6,-0.6884818405743627
M3,T3,7,-0.6333418175823231
M3,T3,8,-0.7643731607513442
M3,T3,9,-0.7608353223918489
M3,T3,10,-0.6696505501014649
M3,T3,11,-0.46199041637329485
M3,T3,12,-1.0491767857956198
M3,T3,13,-0.6848117272279692
M3,T3,14,-0.5860247587172422
M3,T3,15,-0.681451617177973
M3,T4,0,-0.004220174659443354
M3,T4,1,-0.002239577059822473
M3,T4,2,-0.0008367343915288705
M3,T4,3,-0.002275430615567564
M3,T4,4,-0.0016670993905220088
M3,T4,5,-0.00787523430025372
M3,T4,6,-0.009005005083748685
M3,T4,7,-0.0007180817041753107
M3,T4,8,-0.0124447087084123
M3,T4,9,-0.0033704334725831453
M3,T4,10,-0.00031033876827185614
M3,T4,11,-0.0011589903878702623
M3,T4,12,-0.0012925049662074195
M3,T4,13,-0.0002901563863370038
M3,T4,14,-0.008559307221893131
M3,T4,15,-0.014287099669919923
